model,dust_to_metals,geometry,iterations,logn,lognh,logu,metallicity,microturbulence_kms,no_molecules,radius_log_cm,sed,temperature,cautions,cloudy_exited_ok,zones,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731,elapsed_seconds
baseline,0.0,open,3,10.0,22.0,-1.0,0.2,0.0,True,17.0,agn_standard,10000.0,4,True,174,1.8695613249776186,0.00010345568487018798,3.667480725949337e-10,3.3329502466120766e-11,3.2101163831692032,0.459006266786034,0.05832974189532155,6.9658190000230095e+41,6.965819000023009e-13,3.7259109433633586e-13,1.1960607761520139e-12,1.7102164724904455e-13,2.554700692303607e-22,3.8546666841098445e-17,4.06314424360869e-14,7.112920766005395e-24,1.6103807387976385e-23,122.72091858298518
density_low,0.0,open,3,8.0,22.0,-1.0,0.2,0.0,True,17.0,agn_standard,10000.0,0,True,253,5.812215724496426,0.012304391379683777,1.785331656418856e-05,1.0765790944661823e-06,4.447016460905349,0.626272471301711,0.13236444941307993,1.4321907991427856e+42,1.4321907991427857e-12,2.464104684047789e-13,1.0957914091354492e-12,1.5432009300247305e-13,2.5569355717414344e-17,3.0319308433036033e-15,1.8957114658301378e-13,4.717263434292266e-19,1.0701403302147114e-18,151.78743266686797
density_high,0.0,open,3,12.0,22.0,-1.0,0.2,0.0,True,17.0,agn_standard,10000.0,0,True,189,1.089301976750415,1.674880805699898e-05,1.2289392151077016e-10,6.04357234189043e-12,42.69700541061767,4.056490062677453,0.0990717517458444,2.71307692470369e+40,2.7130769247036895e-14,2.4906563860255618e-14,1.0634356919012286e-12,1.0103322879456828e-13,3.334206626372169e-24,4.1715525745480895e-19,2.6878928355162293e-15,5.023808837779368e-26,1.1372867825780996e-25,192.33653670805506
ionization_low,0.0,open,3,10.0,22.0,-2.5,0.2,0.0,True,17.0,agn_standard,10000.0,0,True,237,6.371543086172345,1.7324248496993987e-05,3.922375290935396e-06,3.8907970057243515e-07,0.3584008016032065,0.04949098196392786,0.07268037994590175,1.676850988816294e+43,1.676850988816294e-11,2.63178160476609e-12,9.432326367927397e-13,1.3024945593447567e-13,6.577238885113618e-17,4.559363851078536e-17,1.2187416697982928e-12,1.9987827506498053e-18,4.525504055682548e-18,191.97344970796257
ionization_high,0.0,open,3,10.0,22.0,0.0,0.2,0.0,True,17.0,agn_standard,10000.0,3,True,232,1.4826382930038327,6.957839940506836e-11,9.487614785091442e-16,0.0,7.000171614896173,0.9044105028316458,0.05074851454587545,8.645314219345705e+40,8.645314219345704e-14,5.831033948158896e-14,4.0818238329397864e-13,5.2736483450827835e-14,8.202341100922558e-29,4.057140089895123e-24,4.387368544141294e-15,0.0,0.0,111.97577499994077
column_thin,0.0,open,3,10.0,21.0,-1.0,0.2,0.0,True,17.0,agn_standard,10000.0,0,True,86,2.3878434726825617,1.2819416230086602e-07,3.3234826605771595e-12,6.638256430922157e-14,5.1098577996364805,0.6061691435902918,0.09469183065798016,1.4899307440215859e+41,1.4899307440215858e-13,6.239649964776633e-14,3.1883724039515365e-13,3.782283275451846e-14,4.951758993216567e-25,7.998867002851686e-21,1.4108426970501039e-14,3.030129597189533e-27,6.860412745940393e-27,68.67093595885672
metal_poor,0.0,open,3,10.0,22.0,-1.0,0.05,0.0,True,17.0,agn_standard,10000.0,4,True,175,1.8582894854187102,2.5047712476589675e-05,8.736382396698181e-11,7.9559917454528e-12,3.269597788281459,0.4690537768661375,0.05835772903968901,6.950475051643894e+41,6.950475051643894e-13,3.740254199456879e-13,1.222912685815465e-12,1.7543803586946806e-13,6.07220078898716e-23,9.368481177735299e-18,4.056139397609529e-14,1.6941386831018942e-24,3.8356535306835504e-24,100.24296437506564
metal_solar,0.0,open,3,10.0,22.0,-1.0,1.0,0.0,True,17.0,agn_standard,10000.0,4,True,170,1.882121807465619,0.0005812913020182176,2.5910039855760102e-09,2.14528373505409e-10,2.8670298267547776,0.4033488122879086,0.05948472195862592,7.030196870396253e+41,7.030196870396253e-13,3.735250738028907e-13,1.0709075276336673e-12,1.5066089487814935e-13,1.8215268110580685e-21,2.1712687648733313e-16,4.181893061499232e-14,4.620529846684802e-23,1.0461237153604445e-22,101.1672056671232
xray_weak_sed,0.0,open,3,10.0,22.0,-1.0,0.2,0.0,True,17.0,agn_xray_weak,10000.0,4,True,175,1.861576881912237,0.00010722440242597217,3.776686469911843e-10,3.4621023380605596e-11,3.1072957545486974,0.44270424545130216,0.058183211958604826,6.9621497949758305e+41,6.96214979497583e-13,3.739920635361681e-13,1.1621039512608419e-12,1.6556787429255475e-13,2.629385693218473e-22,4.010107552472184e-17,4.0508023720863587e-14,7.38444193949669e-24,1.6719233143616975e-23,97.15082287485711
closed_sphere,0.0,sphere,3,10.0,22.0,-1.0,0.2,0.0,True,17.0,agn_standard,10000.0,0,True,174,1.8555214220387868,0.00012893089135379777,2.3692259083728277e-10,1.1532890995260663e-11,5.491639894003704,0.9712027765401121,0.05332259083728278,5.278651806510756e+41,5.278651806510756e-13,2.84483474230696e-13,1.5622807962700648e-12,2.7629114005262937e-13,1.2506318621264315e-22,3.6678707907988794e-17,2.8147139045105665e-14,1.8652237075290268e-24,4.2225878811134064e-24,104.15339666698128
