subtype,temperature_basis_k,dense_model,diffuse_model,diffuse_logu,dense_qh_fraction,line_ratio_chi2,predicted_oiii5007_hbeta,predicted_oiii5007_oii3727,predicted_heii4686_hbeta,intrinsic_halpha_hbeta,intrinsic_hbeta_hgamma,effective_halpha_hbeta_transfer_boost,effective_hbeta_hgamma_transfer_boost,smooth_screen_optical_depth_v,smooth_screen_effective_a_v_magnitude,smooth_screen_power_law_index,smooth_screen_predicted_halpha_hbeta,smooth_screen_predicted_hbeta_hgamma,smooth_screen_chi2_two_ratios_one_parameter,dense_qh_fraction_measurement_p16_p50_p84,diffuse_logu_measurement_p16_p50_p84,heii4686_hbeta_measurement_p16_p50_p84,measurement_monte_carlo_draws,systematics_included
xLRD,50000,soft_dense_50k,log-linear interpolation of thermal Cloudy anchors,-2.2041542374120393,0.9809272867778657,2.926539747629935e-29,1.0999999999999996,14.800000000000015,0.014593413284013883,3.128989002118405,1.9955620020399345,3.2278796739656306,4.259451719020004,3.4107507759913274,3.704075342726582,1.2,10.34856854694859,3.550620497854957,3.2210765187847126,"[0.9781915677911003, 0.9809133291883861, 0.9830398543569948]","[-2.3157319167409627, -2.194099104587111, -2.1282117358020645]","[0.014069376133016254, 0.01458450678597044, 0.014993989075380257]",400,False
plusLRD,50000,soft_dense_50k,log-linear interpolation of thermal Cloudy anchors,-2.1014635180015566,0.9008792827686007,9.371435749168255e-28,3.1999999999999975,21.7999999999999,0.007923131291622582,2.9407708122740197,2.0494859575203916,2.720375204558635,2.146879798739105,2.8641406878656688,3.1104567870221165,1.2,8.029447776582634,3.3249141610709976,1.165444800461908,"[0.8839735575004048, 0.9008300509290963, 0.911418404873531]","[-2.194685047814472, -2.1015650130765877, -2.034775215242621]","[0.00705884880331139, 0.007958202791471088, 0.008549301718055246]",400,False
minusLRD,50000,soft_dense_50k,log-linear interpolation of thermal Cloudy anchors,-2.080435225831514,0.7375097636351844,2.3049610172671682e-29,4.3999999999999995,23.599999999999984,0.004176227633672836,2.8348364533410826,2.0810730489423164,2.257625829686607,1.633772539473333,2.326207618417269,2.5262614736011546,1.2,6.4094729618572694,3.082874810471578,0.12515557887726034,"[0.6247077535788944, 0.7378937061432882, 0.8073214650961021]","[-2.136244535794775, -2.0803077100875678, -2.0354454508202062]","[0.0031299874166179917, 0.004171787267762686, 0.005254403678337955]",400,False
bLRD,50000,soft_dense_50k,log-linear interpolation of thermal Cloudy anchors,-2.159619229584488,0.0860799091173137,5.590632346685644e-29,4.900000000000002,17.500000000000036,0.0015077595863442178,2.7634652984249546,2.104233536563038,1.9902547729239595,1.425697265950845,1.9648809752002705,2.1338607390674937,1.2,5.504479725076392,2.9325997144979015,0.0046230702328046045,"[4.053298843339891e-28, 0.003562937677199932, 0.6584434001647604]","[-2.2185958555719143, -2.1421321834474742, -2.0785290970870642]","[0.001383954373427807, 0.001448728134803768, 0.0033429200624907956]",400,False
xLRD,70000,soft_dense_70k,log-linear interpolation of thermal Cloudy anchors,-2.4341143812103945,0.9878683101715241,3.1569348513286994e-28,1.1000000000000019,14.800000000000002,0.20411578908545785,3.234541331718783,1.9997713621791156,3.1225447333001064,4.2504859109181865,3.317234386375931,3.602516543604261,1.2,10.352515387357784,3.502339885012357,3.285422943926127,,,,,
plusLRD,70000,soft_dense_70k,log-linear interpolation of thermal Cloudy anchors,-2.352995868321167,0.9446835172825669,8.612999231476428e-29,3.200000000000001,21.799999999999983,0.13086705164890555,3.0565902314064193,2.0400450424688596,2.617295546455694,2.156815123393122,2.7548564725198434,2.9917741291565503,1.2,8.031878454895589,3.2490568663380386,1.3359616067739506,,,,,
minusLRD,70000,soft_dense_70k,log-linear interpolation of thermal Cloudy anchors,-2.3363825779772913,0.8879332353533907,1.7907194131393927e-29,4.3999999999999995,23.599999999999987,0.08947304204152264,2.95568729647256,2.063519760078157,2.1653170170058336,1.647670192347091,2.2083896392090314,2.3983111481810084,1.2,6.412220746908573,2.9966302485597525,0.20253243984197214,,,,,
bLRD,70000,soft_dense_70k,log-linear interpolation of thermal Cloudy anchors,-2.398963964430877,0.8260256851060903,4.328454898332026e-31,4.9,17.500000000000004,0.06476499403535264,2.9014165696153347,2.0780005088006464,1.895625763497029,1.443695507914722,1.8295922833435634,1.98693721971111,1.2,5.511465972481101,2.830601130682192,0.02922185102590132,,,,,
xLRD,100000,soft_dense_100k,log-linear interpolation of thermal Cloudy anchors,-2.4879131343398577,0.9921325403042343,5.0795037020965434e-30,1.1000000000000003,14.800000000000002,0.6969633288718222,3.3047671407806267,2.0063469771733122,3.056191123231229,4.23655533998183,3.2565416050555775,3.5366041830903576,1.2,10.354525370336761,3.478012157709659,3.318106587868501,,,,,
plusLRD,100000,soft_dense_100k,log-linear interpolation of thermal Cloudy anchors,-2.4189086298995175,0.9656124245677182,9.66644364967446e-28,3.2000000000000033,21.799999999999997,0.49051818837825295,3.1397771699647397,2.0400797709466074,2.54795151596374,2.1567784077180363,2.6787693336101137,2.9091434963005836,1.2,8.03323073726109,3.207615957086625,1.4340495046712851,,,,,
minusLRD,100000,soft_dense_100k,log-linear interpolation of thermal Cloudy anchors,-2.404772821501712,0.934930427396634,9.336500729264328e-30,4.3999999999999995,23.599999999999998,0.3737321124705763,3.0459190007199655,2.0596654888683306,2.1011720923922237,1.6507534929218566,2.123341239691132,2.3059485863045697,1.2,6.413793711354358,2.948366116338001,0.25393279398514307,,,,,
bLRD,100000,soft_dense_100k,log-linear interpolation of thermal Cloudy anchors,-2.4580542631668076,0.9095418944321839,1.0080971458215288e-29,4.900000000000001,17.499999999999986,0.3063441720225069,3.0005871917328593,2.0712568288359603,1.8329745641631274,1.4483959488915676,1.7357100206458478,1.8849810824213908,1.2,5.5152411419523215,2.7770202802234234,0.05064912506368389,,,,,
